NOME: BKWJ 	 CIDADE: BXJ 	 NOTA: 89,67 	 APROVADO 	 COLOCAÇÃO: 26
NOME: AJXN 	 CIDADE: O 	 NOTA: 82,71 	 APROVADO 	 COLOCAÇÃO: 27
NOME: GKQ 	 CIDADE: BXJ 	 NOTA: 75,14 	 APROVADO 	 COLOCAÇÃO: 28
NOME: BRUN 	 CIDADE: ZSFE 	 NOTA: 69,85 	 APROVADO 	 COLOCAÇÃO: 29
NOME: WA 	 CIDADE: QHR 	 NOTA: 50,02 	 APROVADO 	 COLOCAÇÃO: 30
NOME: NKOM 	 CIDADE: ZSFE 	 NOTA: 42,44 	 APROVADO 	 COLOCAÇÃO: 31
NOME: T 	 CIDADE: BXJ 	 NOTA: 42,32 	 APROVADO 	 COLOCAÇÃO: 32
NOME: L 	 CIDADE: ZSFE 	 NOTA: 41,58 	 APROVADO 	 COLOCAÇÃO: 33
NOME: YY 	 CIDADE: RPZV 	 NOTA: 40,47 	 REPROVADO 	 COLOCAÇÃO: 34
NOME: ZESN 	 CIDADE: BXJ 	 NOTA: 31,21 	 REPROVADO 	 COLOCAÇÃO: 35
NOME: GF 	 CIDADE: RPZV 	 NOTA: 30,84 	 REPROVADO 	 COLOCAÇÃO: 36
NOME: VOS 	 CIDADE: HFJE 	 NOTA: 29,08 	 REPROVADO 	 COLOCAÇÃO: 37
NOME: VCQU 	 CIDADE: HFJE 	 NOTA: 24,95 	 REPROVADO 	 COLOCAÇÃO: 38
NOME: LBWP 	 CIDADE: BXJ 	 NOTA: 18,15 	 REPROVADO 	 COLOCAÇÃO: 39
NOME: MVZ 	 CIDADE: NF 	 NOTA: 15,65 	 REPROVADO 	 COLOCAÇÃO: 40
NOME: U 	 CIDADE: NF 	 NOTA: 14,87 	 REPROVADO 	 COLOCAÇÃO: 41
NOME: RQ 	 CIDADE: HFJE 	 NOTA: 7,35 	 REPROVADO 	 COLOCAÇÃO: 42
NOME: UM 	 CIDADE: RPZV 	 NOTA: 6,68 	 REPROVADO 	 COLOCAÇÃO: 43
NOME: LR 	 CIDADE: BXJ 	 NOTA: 6,31 	 REPROVADO 	 COLOCAÇÃO: 44
NOME: IO 	 CIDADE: O 	 NOTA: 4,36 	 REPROVADO 	 COLOCAÇÃO: 45
NOME: WVZ 	 CIDADE: BXJ 	 NOTA: 2,34 	 REPROVADO 	 COLOCAÇÃO: 46
NOME: VNC 	 CIDADE: O 	 NOTA: 1,77 	 REPROVADO 	 COLOCAÇÃO: 47
NOME: IT 	 CIDADE: HFJE 	 NOTA: 1,36 	 REPROVADO 	 COLOCAÇÃO: 48
NOME: B 	 CIDADE: QHR 	 NOTA: 0,42 	 REPROVADO 	 COLOCAÇÃO: 49
NOME: KG 	 CIDADE: ZSFE 	 NOTA: 0,16 	 REPROVADO 	 COLOCAÇÃO: 50
