NOME: TR 	 CIDADE: W 	 NOTA: 82,09 	 APROVADO 	 COLOCAÇÃO: 21
NOME: NJAY 	 CIDADE: PAAG 	 NOTA: 56,92 	 APROVADO 	 COLOCAÇÃO: 22
NOME: KWAB 	 CIDADE: W 	 NOTA: 54,84 	 APROVADO 	 COLOCAÇÃO: 23
NOME: ZNG 	 CIDADE: PAAG 	 NOTA: 48,98 	 APROVADO 	 COLOCAÇÃO: 24
NOME: PPUS 	 CIDADE: SM 	 NOTA: 46,31 	 APROVADO 	 COLOCAÇÃO: 25
NOME: XON 	 CIDADE: CIH 	 NOTA: 43,79 	 APROVADO 	 COLOCAÇÃO: 26
NOME: OH 	 CIDADE: CIH 	 NOTA: 28,04 	 APROVADO 	 COLOCAÇÃO: 27
NOME: I 	 CIDADE: W 	 NOTA: 24,77 	 REPROVADO 	 COLOCAÇÃO: 28
NOME: MLU 	 CIDADE: MEQM 	 NOTA: 23,62 	 REPROVADO 	 COLOCAÇÃO: 29
NOME: BSVB 	 CIDADE: MEQM 	 NOTA: 22,65 	 REPROVADO 	 COLOCAÇÃO: 30
NOME: SYGM 	 CIDADE: CIH 	 NOTA: 20,38 	 REPROVADO 	 COLOCAÇÃO: 31
NOME: D 	 CIDADE: W 	 NOTA: 17,68 	 REPROVADO 	 COLOCAÇÃO: 32
NOME: VFMN 	 CIDADE: W 	 NOTA: 16,92 	 REPROVADO 	 COLOCAÇÃO: 33
NOME: F 	 CIDADE: PAAG 	 NOTA: 4,97 	 REPROVADO 	 COLOCAÇÃO: 34
NOME: K 	 CIDADE: MEQM 	 NOTA: 4,03 	 REPROVADO 	 COLOCAÇÃO: 35
NOME: MYR 	 CIDADE: CIH 	 NOTA: 1,15 	 REPROVADO 	 COLOCAÇÃO: 36
NOME: YV 	 CIDADE: PAAG 	 NOTA: 0,98 	 REPROVADO 	 COLOCAÇÃO: 37
NOME: GI 	 CIDADE: MEQM 	 NOTA: 0,77 	 REPROVADO 	 COLOCAÇÃO: 38
NOME: CF 	 CIDADE: SM 	 NOTA: 0,42 	 REPROVADO 	 COLOCAÇÃO: 39
NOME: I 	 CIDADE: CIH 	 NOTA: 0,06 	 REPROVADO 	 COLOCAÇÃO: 40
